PMID;Title;Abstract;LCR;Function;Hard;Category
457654;Purified eukaryotic initiation factor 2 from calf liver consists of two polypeptide chains of 48,000 and 38,000 daltons.;Eukaryotic initiation factor 2 (eIF-2), which specifically binds Met-tRNAMetf and forms stable ternary complexes with GTP, has been purified from ribosomal salt wash proteins from calf liver. The purified factor exhibits only two polypeptide bands of Mr = 48,000 and 38,000 following electrophoresis in 15% polyacrylamide gels in the presence of sodium dodecyl sulfate. Densitometric tracings show the two polypeptides are present in a molar ratio of 1:1. This suggests a Mr = 86,000 for the native enzyme, a value which agrees with the apparent molecular weight determined by physical methods. Less pure preparations of eIF-2 show additional polypeptide bands, including 50,000- and 46,000-dalton bands, all of which can be removed by further purification without affecting the activity of eIF-2.;-;-;polyacrylamide;hard_1
9792050;Genetic instability of microsatellite sequences in non-small cell lung cancers.;To evaluate the frequency and pattern of microsatellite instability in NSCLCs, we examined 36 cases of resected NSCLC. The mean age of the patients was 59.9+/-8.4 years. There were 19 cases of squamous cell carcinoma, 15 of adenocarcinoma and two of large cell carcinoma. We observed microsatellite instability at one or more loci in 13 (36%) of 36 tumors analyzed, and this instability ranged from six tumors showing instability in only a single microsatellite to three tumors that had alterations in three of four tested microsatellites. The microsatellite that showed instability most frequently in these tumors was D3S1340 (31%). Microsatellite instability was found in five (26%) of 19 squamous cell carcinomas, six (40%) of 15 adenocarcinomas, and in both large cell carcinomas tested. We found microsatellite instability in four (24%) of 17 cancers at stage I, in one (17%) of six at stage II, in eight (73%) of eleven at stage IIIa, and in neither at stage IIIb. In conclusion, microsatellite instability was noted in at least one third of non-small cell lung cancers, suggesting its possible role in cancer development.;-;-;-;hard_0
9015708;Lack of chondroitin sulphate epitope in the proliferating zone of the growth plate of chicken tibia.;Monoclonal antibodies specific to chondroitin sulphate (CS-56) and keratan sulphate (AH12) were used to localize proteoglycans in the proximal tibial articular cartilage and growth plate of broiler chickens. There was no CS-56 labelling in the proliferative zone of the growth plate. In contrast, intense labelling with this antibody was observed in the transitional and hypertrophic zones of the growth plate and the articular cartilage. This was confirmed by extracting chondroitin sulphate fractions from different zones of the growth plate and articular cartilage, and examining their antigenicities to CS-56 by ELISA inhibition assay. It was suggested that the maturation of chondrocytes in the growth plate is related to the production of chondroitin sulphate with CS-56 epitope, which may be a prerequisite for normal endochondral bone formation in the chicken tibia. The role of chondroitin sulphate recognized by CS-56 in the articular cartilage is unknown.;-;antigen;-;hard_2
10636916;The Smad4 activation domain (SAD) is a proline-rich, p300-dependent transcriptional activation domain.;Transforming growth factor-beta (TGF-beta) family members signal through a unique set of intracellular proteins called Smads. Smad4, previously identified as the tumor suppressor DPC4, is functionally distinct among the Smad family, and is required for the assembly and transcriptional activation of diverse, Smad-DNA complexes. We previously identified a 48-amino acid proline-rich regulatory element within the middle linker domain of this molecule, the Smad4 activation domain (SAD), which is essential for mediating these signaling activities. We now characterize the functional activity of the SAD. Mutants lacking the SAD are still able to form complexes with other Smad family members and associated transcription factors, but cannot activate transcription in these complexes. Furthermore, the SAD itself is able to activate transcription in heterologous reporter assays, identifying it as a proline-rich transcriptional activation domain, and indicating that the SAD is both necessary and sufficient to activate Smad-dependent transcriptional responses. We show that transcriptional activation by the SAD is p300-dependent, and demonstrate that this activity is associated with a physical interaction of the SAD with the amino terminus of p300. These data identify a novel function of the middle linker region of Smad4, and define the role of the SAD as an important locus determining the transcriptional activation of the Smad complex. ;proline;transcription factor;-;LCR_with_function
502429;[Effect of strong, infralow-frequency magnetic fields on bone marrow cell division].;The effect of an infralow frequency magnetic field of 3-127 kOe applied for 1 hr on mitotic activity, frequency of chromosomal aberrations and number of bone marrow cells of mice was studed. The exposure of mice to fields of 3 and 8 kOe stimulated and to fields of 54 and 127 kOe inhibited mitotic activity. No increase in the frequency of aberrant mitoses in bone marrow cells was noted. The changes in the cell number were small (no more than 20%) and readily reversible.;-;-;-;hard_0
35940634;Arid5a Mediates an IL-17-Dependent Pathway That Drives Autoimmunity but Not Antifungal Host Defense.;IL-17 contributes to the pathogenesis of certain autoimmune diseases, but conversely is essential for host defense against fungi. Ab-based biologic drugs that neutralize IL-17 are effective in autoimmunity but can be accompanied by adverse side effects. Candida albicans is a commensal fungus that is the primary causative agent of oropharyngeal and disseminated candidiasis. Defects in IL-17 signaling cause susceptibility to candidiasis in mice and humans. A key facet of IL-17 receptor signaling involves RNA-binding proteins, which orchestrate the fate of target mRNA transcripts. In tissue culture models we showed that the RNA-binding protein AT-rich interaction domain 5A (Arid5a) promotes the stability and/or translation of multiple IL-17-dependent mRNAs. Moreover, during oropharyngeal candidiasis, Arid5a is elevated within the oral mucosa in an IL-17-dependent manner. However, the contribution of Arid5a to IL-17-driven events in vivo is poorly defined. In this study, we used CRISPR-Cas9 to generate mice lacking Arid5a. Arid5a -/- mice were fully resistant to experimental autoimmune encephalomyelitis, an autoimmune setting in which IL-17 signaling drives pathology. Surprisingly, Arid5a -/- mice were resistant to oropharyngeal candidiasis and systemic candidiasis, similar to immunocompetent wild-type mice and contrasting with mice defective in IL-17 signaling. Therefore, Arid5a-dependent signals mediate pathology in autoimmunity and yet are not required for immunity to candidiasis, indicating that selective targeting of IL-17 signaling pathway components may be a viable strategy for development of therapeutics that spare IL-17-driven host defense.;threonine;nucleic acid binding;-;LCR_with_function
1845885;The promoter, transcriptional unit, and coding sequence of herpes simplex virus 1 family 35 proteins are contained within and in frame with the UL26 open reading frame.;"The herpes simplex virus 1 (HSV-1) genome specifies an abundant capsid protein which in denaturing gels forms multiple bands designated family 35 proteins (D.K. Braun, B. Roizman, and L. Pereira, J. Virol. 49:142-153, 1984). Nucleotide-sequencing studies have assigned the coding sequences of these proteins to the open reading frame UL26 (D.J. McGeoch, M.A. Dalrymple, A.J. Davidson, A. Dolan, M.C. Frame, D. McNab, L.J. Perry, J.E. Scott, and P. Taylor, J. Gen. Virol. 69:1531-1574, 1988). IN studies reported here, a series of plasmid constructs containing deletions or insertions of an alpha 4 promoter or of a sequence encoding a cytomegalovirus epitope reacting with a mouse monoclonal antibody revealed the following: the open reading frame previously designated UL26 encodes two proteins which share amino acid sequences, and each coding domain is contained in its own transcriptional unit that terminates at a common, unique poly(A) site. On the basis of the transcription initiation site (+1), it was predicted that the UL26 open reading frame encodes a protein of 635 amino acids, and a protein with an apparent molecular weight of approximately 75,000 has been identified. The second transcriptional unit, designated UL26.5, predicted to specify a protein of 329 amino acids, encodes the family 35 proteins; it is transcribed by an mRNA which initiates at approximately nucleotide +1000 of the UL26 transcription initiation site and is translated from the methionine initiation codon located at position +1099 of the UL26 transcriptional unit. The DNA fragment comprising the sequences downstream of the HpaI cleavage site (+832 of UL26) contains both the promoter and the coding sequence of family 35 proteins and is both competent and efficient in expressing the proteins in transfected cells superinfected with HSV-1 or HSV-2.";alanine;-;-;LCR_without_function
8961927;Structural and thermodynamic characterization of the interaction of the SH3 domain from Fyn with the proline-rich binding site on the p85 subunit of PI3-kinase.;"The interaction of the Fyn SH3 domain with the p85 subunit of PI3-kinase is investigated using structural detail and thermodynamic data. The solution structure complex of the SH3 domain with a proline-rich peptide mimic of the binding site on the p85 subunit is described. This indicates that the peptide binds as a poly(L-proline) type II helix. Circular dichroism spectroscopic studies reveal that in the unbound state the peptide exhibits no structure. Thermodynamic data for the binding of this peptide to the SH3 domain suggest that the weak binding (approximately 31 microM) of this interaction is, in part, due to the entropically unfavorable effect of helix formation (delta S0 = -78 J.mol-1.K-1). Binding of the SH3 domain to the intact p85 subunit (minus its own SH3 domain) is tighter, and the entropic and enthalpic contributions are very different from those given by the peptide interaction (delta S0 = +252 J.mol-1.K-1; delta H0 = +44 kJ.mol-1). From these dramatically different thermodynamic measurements we are able to conclude that the interaction of the proline-rich peptide does not effectively mimic the interaction of the intact p85 subunit with the SH3 domain and suggest that other interactions could be important.";proline;helix;-;LCR_with_function
629152;Distribution of CAP and methylated nucleotides between the RNase sensitive and resistant fractions of mRNA in messenger ribonucleoprotein particles.;When polyribosomal mRNP is exposed to ribonucleases most but not all of the mRNA is converted to acid soluble products. If mRNP is prepared under isotonic conditions there are two types of ribonuclease resistant core fractions, one which contains the poly(A) part of the mRNA and a second which contains mRNA fragments, 30-40 nucleotides in length. Like poly(A) these fragments appear to be protein associated in the mRNP complex. Non-poly(A) fragments in mRNP prepared from adenovirus-infected cells harvested in the late phase of infection contained only 3% of CAP structures and 12% of internally located methylated nucleotides. This indicates that no CAP structures but one out of the seven internally located methylated nucleotides found in the mRNA are situated in protein associated regions.;alanine;-;-;LCR_without_function
26369869;Personalized liposome-protein corona in the blood of breast, gastric and pancreatic cancer patients.;When nanoparticles (NPs) are dispersed in a biofluid, they are covered by a protein corona the composition of which strongly depends on the protein source. Recent studies demonstrated that the type of disease has a crucial role in the protein composition of the NP corona with relevant implications on personalized medicine. Proteomic variations frequently occur in cancer with the consequence that the bio-identity of NPs in the blood of cancer patients may differ from that acquired after administration to healthy volunteers. In this study we investigated the correlation between alterations of plasma proteins in breast, gastric and pancreatic cancer and the biological identity of clinically approved AmBisome-like liposomes as determined by a combination of dynamic light scattering, zeta potential analysis, one-dimensional sodium dodecyl sulfate polyacrylamide gel electrophoresis (1D-SDS-PAGE) and semi-quantitative densitometry. While size of liposome-protein complexes was not significantly different between cancer groups, the hard corona from pancreatic cancer patients was significantly less negatively charged. Of note, the hard corona from pancreatic cancer patients was more enriched than those of other cancer types this enrichment being most likely due to IgA and IgG with possible correlations with the autoantibodies productions in cancer. Given the strict relationship between tumor antigen-specific autoantibodies and early cancer detection, our results could be the basis for the development of novel nanoparticle-corona-based screening tests of cancer.;-;antigen;polyacrylamide;hard_3
9389476;Facile synthesis of block copolypeptides of defined architecture.;Many natural polymeric materials (particularly structural proteins) display a hierarchy of structure over several length scales. Block copolymers are able to self-assemble into ordered nanostructures, but the random-coiled nature of their polymer chains usually suppresses any further levels of organization. The use of components with regular structures, such as rigid-rod polymers, can increase the extent of spatial organization in self-assembling materials. But the synthesis of such polymeric components typically involves complicated reaction steps that are not suitable for large-scale production. Proteins form hierarchically organized structures in which the fundamental motifs are generally alpha-helical coils and beta-sheets. Attempts to synthesize polypeptides with well-defined amino-acid sequences, which might adopt similar organized structures, have been plagued by unwanted side reactions that give rise to products with a wide range of molecular weights, hampering the formation of well-defined peptide block copolymers. Here I describe a polymerization strategy that overcomes these difficulties by using organonickel initiators which suppress chain-transfer and termination side reactions. This approach allows the facile synthesis of block copolypeptides with well-defined sequences, which might provide new peptide-based biomaterials with potential applications in tissue engineering, drug delivery and biomimetic composite formation.;-;-;-;hard_0
7630729;Phosphorylation of a chloroplast RNA-binding protein changes its affinity to RNA.;An RNA-binding protein of 28 kDa (28RNP) was previously isolated from spinach chloroplasts and found to be required for 3' end-processing of chloroplast mRNAs. The amino acid sequence of 28RNP revealed two approximately 80 amino-acid RNA-binding domains, as well as an acidic- and glycine-rich amino terminal domain. Upon analysis of the RNA-binding properties of the 'native' 28RNP in comparison to the recombinant bacterial expressed protein, differences were detected in the affinity to some chloroplastic 3' end RNAs. It was suggested that post-translational modification can modulate the affinity of the 28RNP in the chloroplast to different RNAs. In order to determine if phosphorylation accounts for this post-translational modification, we examined if the 28RNP is a phosphoprotein and if it can serve as a substrate for protein kinases. It was found that the 28RNP was phosphorylated when intact chloroplasts were metabolically labeled with [32P] orthophosphate, and that recombinant 28RNP served as an excellent substrate in vitro for protein kinase isolated from spinach chloroplasts or recombinant alpha subunit of maize casein kinase II. The 28RNP was apparently phosphorylated at one site located in the acidic domain at the N-terminus of the protein. Site-directed mutagenesis of the serines in that region revealed that the phosphorylation of the protein was eliminated when serine number 22 from the N-terminus was changed to tryptophan. RNA-binding analysis of the phosphorylated 28RNP revealed that the affinity of the phosphorylated protein was reduced approximately 3-4-fold in comparison to the non-phosphorylated protein. Therefore, phosphorylation of the 28RNP modulates its affinity to RNA and may play a significant role in its biological function in the chloroplast. ;glycine;nucleic acid binding;-;LCR_with_function
7496053;Hypertensive heart disease and the diabetic patient.;Patients with diabetes mellitus are particularly vulnerable to cardiovascular disease. Although structural and functional myocardial complications are present in patients with diabetes alone, they are particularly severe in patients with both diabetes and hypertension. Considerable evidence--both in experimental animal models and in humans--points to hypertension as of critical importance in the pathogenesis of severe diabetic heart disease. In diabetic hypertensive cardiomyopathy, coronary artery disease as well as structural and functional abnormalities are more pronounced than would be expected from either process alone. The myocardial damage is attributed mainly to hypertension, whereas the myocellular dysfunction is attributed mainly to diabetes. Together, the consequences to the myocardium are devastating. Strict control of the hypertension and diabetes may have an ameliorative effect on the subsequent development of diabetic heart disease.;-;-;-;hard_0
9348197;Active repression by thyroid hormone receptor splicing variant alpha2 requires specific regulatory elements in the context of native triiodothyronine-regulated gene promoters.;Structural requirements for the inhibitory action of thyroid hormone receptor splicing variant alpha2 (TR alpha2) on T3/TRbeta1-mediated transactivation were investigated in native promoters of two T3-regulated genes: the brain-specific myelin basic protein (MBP) and the housekeeping malic enzyme (ME). T3/TRbeta1 transactivation of MBP256-chloramphenicol acetyl transferase (CAT) and ME315-CAT constructs was inhibited and unaffected by TR alpha2, respectively. In electrophoretic mobility shift assays, TR alpha2 bound MBP-thyroid response element (TRE) as a monomer but failed to interact with ME-TRE. Mutations of ME-TRE allowed TR alpha2 binding but not inhibition of T3/TRbeta1-mediated transactivation. In the context of the MBP promoter, replacement of MBP-TRE with ME-TRE or exchange of MBP TATA-like box with the ME GC-rich region spanning the transcription start site abolished TR alpha2 dominant negative action. Simultaneous introduction of both MBP-TRE and MBP TATA-like box in the context of ME promoter, however, triggered TR alpha2 inhibition of T3/TRbeta1 transactivation, indicating that these regulatory elements are necessary, but not individually sufficient, to mediate TR alpha2 dominant negative activity. Functional studies at low TR alpha2/TRbeta1 ratios revealed that binding to TRE facilitates TR alpha2 dominant negative action while prevention of DNA interaction by altering TR alpha2 P-box structure preserved TR alpha2 inhibitory effect, although with lower potency. In conclusion, the results suggest that, in native promoters of T3-regulated genes, a dual molecular mechanism, with DNA-binding dependent and DNA-binding independent components, underlies TR alpha2 dominant negative activity.;cysteine;nucleic acid binding;-;LCR_with_function
1872827;Differential genomic susceptibility in malignancy correlates with changes in ATATAT DNA-binding proteins.;Accesibility to DNA in the nucleus is important for the regulation of gene expression and for the effect of DNA-modifying drugs. We have now studied differential genome susceptibility in normal melanocytes and the corresponding malignant melanoma. DNA hypersensitivity assays revealed a markedly lesser degradation in melanoma nuclei compared to that in melanocytes. Cross-linking of DNA to nuclear proteins by ultraviolet light showed a cell-type dependent inverse correlation of genomic susceptibility with binding of (dA.dT) (dA.dT) sequences, compared to that shown with (dG.dC) (dG.dC), regardless of methylation in cytosines. Exposure to cholera toxin partly reversed genomic susceptibility and increased DNA/protein cross-linking in melanocytes. In contrast, melanoma cells showed decreased DNA/protein interactions and greater genome susceptibility after exposure to cholera toxin or okadaic acid. Our data suggest that a molecular mechanism for differential genome exposure in cancer cells involves a modified expression of sequence-specific DNA-binding proteins.;-;nucleic acid binding;-;hard_2
23209321;Complete dependence on IRAK4 kinase activity in TLR2, but not TLR4, signaling pathways underlies decreased cytokine production and increased susceptibility to Streptococcus pneumoniae infection in IRAK4 kinase-inactive mice.;IRAK4 is critical for MyD88-dependent TLR signaling, and patients with Irak4 mutations are extremely susceptible to recurrent bacterial infections. In these studies, mice homozygous for a mutant IRAK4 that lacks kinase activity (IRAK4(KDKI)) were used to address the role of IRAK4 in response to TLR agonists or bacterial infection. IRAK4(KDKI) macrophages exhibited diminished responsiveness to the TLR4 agonist LPS and little to no response to the TLR2 agonist Pam3Cys compared with wild-type macrophages as measured by cytokine mRNA, cytokine protein expression, and MAPK activation. Importantly, we identified two kinases downstream of the MAPKs, MNK1 and MSK1, whose phosphorylation is deficient in IRAK4(KDKI) macrophages stimulated through either TLR2 or TLR4, suggesting that IRAK4 contributes to TLR signaling beyond the initial phosphorylation of MAPKs. Additionally, IRAK4(KDKI) macrophages produced minimal cytokine mRNA expression in response to the Gram-positive bacteria Streptococcus pneumoniae and Staphylococcus aureus compared with WT cells, and IRAK4(KDKI) mice exhibited increased susceptibility and decreased cytokine production in vivo upon S. pneumoniae infection. Treatment of infected mice with a complex of polyinosinic-polycytidylic acid with poly-L-lysine and carboxymethyl cellulose (Hiltonol), a potent TLR3 agonist, significantly improved survival of both WT and IRAK4(KDKI) mice, thereby providing a potential treatment strategy in both normal and immunocompromised patients.;-;kinase activity;poly-L-;hard_3
